 cattivin ( VERB ) 
 Cecilia ( NOUN NOUN_PROPER_SINGULAR ) 
 Cnr ( NOUN NOUN_PROPER_SINGULAR ) 
 Cei ( NOUN NOUN_PROPER_SINGULAR ) 
 cablerete ( VERB ) 
 Cuellar ( NOUN NOUN_PROPER_SINGULAR ) 
 Cancelliere ( NOUN NOUN_PROPER_SINGULAR ) 
 Chirico ( NOUN NOUN_PROPER_SINGULAR ) 
 Cristofori ( NOUN NOUN_PROPER_SINGULAR ) 
 Carrara ( NOUN NOUN_PROPER_SINGULAR ) 
 C. ( NOUN NOUN_PROPER_SINGULAR ) 
 Cipi ( NOUN NOUN_PROPER_SINGULAR ) 
 Club ( NOUN NOUN_PROPER_SINGULAR ) 
 Caracciolo ( NOUN NOUN_PROPER_SINGULAR ) 
 Clinton ( NOUN NOUN_PROPER_SINGULAR ) 
 Cordova ( NOUN NOUN_PROPER_SINGULAR ) 
 Campo ( NOUN NOUN_PROPER_SINGULAR ) 
 Cnel ( NOUN NOUN_PROPER_SINGULAR ) 
 Campania ( NOUN NOUN_PROPER_SINGULAR ) 
 Cardinale ( NOUN NOUN_PROPER_SINGULAR ) 
 Castelli ( NOUN NOUN_PROPER_SINGULAR ) 
 Calo' ( NOUN NOUN_PROPER_SINGULAR ) 
 Camp ( NOUN NOUN_PROPER_SINGULAR ) 
 Conte ( NOUN NOUN_PROPER_SINGULAR ) 
 Cuneo ( NOUN NOUN_PROPER_SINGULAR ) 
 Cabassi ( NOUN NOUN_PROPER_SINGULAR ) 
 Chieti ( NOUN NOUN_PROPER_SINGULAR ) 
 Cir ( NOUN NOUN_PROPER_SINGULAR ) 
 Cannes ( NOUN NOUN_PROPER_SINGULAR ) 
 Churchill ( NOUN NOUN_PROPER_SINGULAR ) 
 Casarin ( NOUN NOUN_PROPER_SINGULAR ) 
 Calleri ( NOUN NOUN_PROPER_SINGULAR ) 
 Cariplo ( NOUN NOUN_PROPER_SINGULAR ) 
 Che ( NOUN NOUN_PROPER_SINGULAR ) 
 Contrada ( NOUN NOUN_PROPER_SINGULAR ) 
 Cagliari ( NOUN NOUN_PROPER_SINGULAR ) 
 Cobas ( NOUN NOUN_PROPER_SINGULAR ) 
 Cofide ( NOUN NOUN_PROPER_SINGULAR ) 
 Crimea ( NOUN NOUN_PROPER_SINGULAR ) 
 Cofferati ( NOUN NOUN_PROPER_SINGULAR ) 
 Caravaggio ( NOUN NOUN_PROPER_SINGULAR ) 
 Colorado ( NOUN NOUN_PROPER_SINGULAR ) 
 Cristoforo ( NOUN NOUN_PROPER_SINGULAR ) 
 Compagnia ( NOUN NOUN_PROPER_SINGULAR ) 
 C1 ( NOUN NOUN_PROPER_SINGULAR ) 
 Cementir ( NOUN NOUN_PROPER_SINGULAR ) 
 Caterina ( NOUN NOUN_PROPER_SINGULAR ) 
 Carli ( NOUN NOUN_PROPER_SINGULAR ) 
 Cambogia ( NOUN NOUN_PROPER_SINGULAR ) 
 cimenteremo ( VERB ) 
 California ( NOUN NOUN_PROPER_SINGULAR ) 
 Cina ( NOUN NOUN_PROPER_SINGULAR ) 
 Chaplin ( NOUN NOUN_PROPER_SINGULAR ) 
 Cirino ( NOUN NOUN_PROPER_SINGULAR ) 
 Carolina ( NOUN NOUN_PROPER_SINGULAR ) 
 Columbia ( NOUN NOUN_PROPER_SINGULAR ) 
 Corti ( NOUN NOUN_PROPER_SINGULAR ) 
 Caltagirone ( NOUN NOUN_PROPER_SINGULAR ) 
 Croazia ( NOUN NOUN_PROPER_SINGULAR ) 
 Cbs ( NOUN NOUN_PROPER_SINGULAR ) 
 Cantarella ( NOUN NOUN_PROPER_SINGULAR ) 
 Campobasso ( NOUN NOUN_PROPER_SINGULAR ) 
 Crescenzo ( NOUN NOUN_PROPER_SINGULAR ) 
 Compagnoni ( NOUN NOUN_PROPER_SINGULAR ) 
 Cabrini ( NOUN NOUN_PROPER_SINGULAR ) 
 chatoutput ( ) 
 Cirillo ( NOUN NOUN_PROPER_SINGULAR ) 
 Ciotti ( NOUN NOUN_PROPER_SINGULAR ) 
 Cairo ( NOUN NOUN_PROPER_SINGULAR ) 
 Cazzola ( NOUN NOUN_PROPER_SINGULAR ) 
 Claudio ( NOUN NOUN_PROPER_SINGULAR ) 
 Casson ( NOUN NOUN_PROPER_SINGULAR ) 
 Chris ( NOUN NOUN_PROPER_SINGULAR ) 
 Center ( NOUN NOUN_PROPER_SINGULAR ) 
 Calabresi ( NOUN NOUN_PROPER_SINGULAR ) 
 Chiambretti ( NOUN NOUN_PROPER_SINGULAR ) 
 Cattin ( NOUN NOUN_PROPER_SINGULAR ) 
 Craxi ( NOUN NOUN_PROPER_SINGULAR ) 
 Charles ( NOUN NOUN_PROPER_SINGULAR ) 
 Celli ( NOUN NOUN_PROPER_SINGULAR ) 
 Cv ( NOUN NOUN_PROPER_SINGULAR ) 
 Consob ( NOUN NOUN_PROPER_SINGULAR ) 
 Codice ( NOUN NOUN_PROPER_SINGULAR ) 
 Cgil ( NOUN NOUN_PROPER_SINGULAR ) 
 Carraro ( NOUN NOUN_PROPER_SINGULAR ) 
 Cogefar ( NOUN NOUN_PROPER_SINGULAR ) 
 Cutolo ( NOUN NOUN_PROPER_SINGULAR ) 
 Canio ( NOUN NOUN_PROPER_SINGULAR ) 
 Cuore ( NOUN NOUN_PROPER_SINGULAR ) 
 Carmen ( NOUN NOUN_PROPER_SINGULAR ) 
 Costa ( NOUN NOUN_PROPER_SINGULAR ) 
 Confcommercio ( NOUN NOUN_PROPER_SINGULAR ) 
 Civitavecchia ( NOUN NOUN_PROPER_SINGULAR ) 
 Carlo ( NOUN NOUN_PROPER_SINGULAR ) 
 Citroen ( NOUN NOUN_PROPER_SINGULAR ) 
 Cosenza ( NOUN NOUN_PROPER_SINGULAR ) 
 certificante ( VERB_PRESENT_PARTICIPLE VERB ) 
 Crédit ( NOUN NOUN_PROPER_SINGULAR ) 
 Ciampi ( NOUN NOUN_PROPER_SINGULAR ) 
 Castro ( NOUN NOUN_PROPER_SINGULAR ) 
 Catherine ( NOUN NOUN_PROPER_SINGULAR ) 
 Celentano ( NOUN NOUN_PROPER_SINGULAR ) 
 Colombia ( NOUN NOUN_PROPER_SINGULAR ) 
 Chelsea ( NOUN NOUN_PROPER_SINGULAR ) 
 Cecenia ( NOUN NOUN_PROPER_SINGULAR ) 
 Corporation ( NOUN NOUN_PROPER_SINGULAR ) 
 Camilla ( NOUN NOUN_PROPER_SINGULAR ) 
 Cristo ( NOUN NOUN_PROPER_SINGULAR ) 
 cercatore ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 Carlucci ( NOUN NOUN_PROPER_SINGULAR ) 
 Contini ( NOUN NOUN_PROPER_SINGULAR ) 
 Carmine ( NOUN NOUN_PROPER_SINGULAR ) 
 calabrissimo ( ADJECTIVE ) 
 Ciancimino ( NOUN NOUN_PROPER_SINGULAR ) 
 Careca ( NOUN NOUN_PROPER_SINGULAR ) 
 Costanzo ( NOUN NOUN_PROPER_SINGULAR ) 
 Cortina ( NOUN NOUN_PROPER_SINGULAR ) 
 Clara ( NOUN NOUN_PROPER_SINGULAR ) 
 cinematograferò ( VERB ) 
 Ceausescu ( NOUN NOUN_PROPER_SINGULAR ) 
 Colle ( NOUN NOUN_PROPER_SINGULAR ) 
 Central ( NOUN NOUN_PROPER_SINGULAR ) 
 Canada ( NOUN NOUN_PROPER_SINGULAR ) 
 Censis ( NOUN NOUN_PROPER_SINGULAR ) 
 Chrysler ( NOUN NOUN_PROPER_SINGULAR ) 
 Corsica ( NOUN NOUN_PROPER_SINGULAR ) 
 Commedia ( NOUN NOUN_PROPER_SINGULAR ) 
 Cristina ( NOUN NOUN_PROPER_SINGULAR ) 
 calciavate ( VERB ) 
 Casillo ( NOUN NOUN_PROPER_SINGULAR ) 
 Cnn ( NOUN NOUN_PROPER_SINGULAR ) 
 Coppi ( NOUN NOUN_PROPER_SINGULAR ) 
 Castagna ( NOUN NOUN_PROPER_SINGULAR ) 
 Casella ( NOUN NOUN_PROPER_SINGULAR ) 
 Calogero ( NOUN NOUN_PROPER_SINGULAR ) 
 Capanna ( NOUN NOUN_PROPER_SINGULAR ) 
 Casa ( NOUN NOUN_PROPER_SINGULAR ) 
 Caccia ( NOUN NOUN_PROPER_SINGULAR ) 
 Caf ( NOUN NOUN_PROPER_SINGULAR ) 
 Calvi ( NOUN NOUN_PROPER_SINGULAR ) 
 Campidoglio ( NOUN NOUN_PROPER_SINGULAR ) 
 Cantoni ( NOUN NOUN_PROPER_SINGULAR ) 
 Capaci ( NOUN NOUN_PROPER_SINGULAR ) 
 Capodanno ( NOUN NOUN_PROPER_SINGULAR ) 
 Capri ( NOUN NOUN_PROPER_SINGULAR ) 
 Capria ( NOUN NOUN_PROPER_SINGULAR ) 
 Caraibi ( NOUN NOUN_PROPER_SINGULAR ) 
 Carbone ( NOUN NOUN_PROPER_SINGULAR ) 
 Caritas ( NOUN NOUN_PROPER_SINGULAR ) 
 Carroccio ( NOUN NOUN_PROPER_SINGULAR ) 
 Caserta ( NOUN NOUN_PROPER_SINGULAR ) 
 Casini ( NOUN NOUN_PROPER_SINGULAR ) 
 Castel ( NOUN NOUN_PROPER_SINGULAR ) 
 Castellani ( NOUN NOUN_PROPER_SINGULAR ) 
 Cattaneo ( NOUN NOUN_PROPER_SINGULAR ) 
 Cavallo ( NOUN NOUN_PROPER_SINGULAR ) 
 Cavour ( NOUN NOUN_PROPER_SINGULAR ) 
 Ccd ( NOUN NOUN_PROPER_SINGULAR ) 
 Cdu ( NOUN NOUN_PROPER_SINGULAR ) 
 Cee ( NOUN NOUN_PROPER_SINGULAR ) 
 Cernomyrdin ( NOUN NOUN_PROPER_SINGULAR ) 
 Charlie ( NOUN NOUN_PROPER_SINGULAR ) 
 Chiappucci ( NOUN NOUN_PROPER_SINGULAR ) 
 Chiara ( NOUN NOUN_PROPER_SINGULAR ) 
 Chiaromonte ( NOUN NOUN_PROPER_SINGULAR ) 
 Chicago ( NOUN NOUN_PROPER_SINGULAR ) 
 Ciga ( NOUN NOUN_PROPER_SINGULAR ) 
 Cile ( NOUN NOUN_PROPER_SINGULAR ) 
 Cinecitta' ( NOUN NOUN_PROPER_SINGULAR ) 
 Cipolletta ( NOUN NOUN_PROPER_SINGULAR ) 
 Cipro ( NOUN NOUN_PROPER_SINGULAR ) 
 Ciriaco ( NOUN NOUN_PROPER_SINGULAR ) 
 Cisgiordania ( NOUN NOUN_PROPER_SINGULAR ) 
 Città ( NOUN NOUN_PROPER_SINGULAR ) 
 City ( NOUN NOUN_PROPER_SINGULAR ) 
 Cocer ( NOUN NOUN_PROPER_SINGULAR ) 
 Coldiretti ( NOUN NOUN_PROPER_SINGULAR ) 
 Colosseo ( NOUN NOUN_PROPER_SINGULAR ) 
 Cooper ( NOUN NOUN_PROPER_SINGULAR ) 
 Costantino ( NOUN NOUN_PROPER_SINGULAR ) 
 Cremona ( NOUN NOUN_PROPER_SINGULAR ) 
 Crippa ( NOUN NOUN_PROPER_SINGULAR ) 
 Crotone ( NOUN NOUN_PROPER_SINGULAR ) 
 Cruise ( NOUN NOUN_PROPER_SINGULAR ) 
 Curcio ( NOUN NOUN_PROPER_SINGULAR ) 
 c' ( ) 
 c.a.p. ( ) 
 c.p. ( ) 
 c.t. ( ) 
 c/c ( NOUN NOUN_SINGULAR ) 
 cabala ( NOUN NOUN_SINGULAR ) 
 cabale ( NOUN NOUN_SINGULAR ) 
 cabaletta ( NOUN NOUN_SINGULAR ) 
 cabalette ( NOUN NOUN_SINGULAR ) 
 cabalista ( NOUN NOUN_SINGULAR ) 
 cabalisti ( NOUN NOUN_SINGULAR ) 
 cabalistica ( ADJECTIVE ) 
 cabalistiche ( ADJECTIVE ) 
 cabalistici ( ADJECTIVE ) 
 cabalisticissima ( ADJECTIVE ) 
 cabalisticissime ( ADJECTIVE ) 
 cabalisticissimi ( ADJECTIVE ) 
 cabalisticissimo ( ADJECTIVE ) 
 cabalistico ( ADJECTIVE ) 
 cabaret ( NOUN NOUN_SINGULAR ) 
 cabarettista ( NOUN NOUN_SINGULAR ) 
 cabarettisti ( NOUN NOUN_SINGULAR ) 
 cabina ( NOUN NOUN_SINGULAR ) 
 cabinata ( ADJECTIVE ) 
 cabinate ( ADJECTIVE ) 
 cabinati ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 cabinatissima ( ADJECTIVE ) 
 cabinatissime ( ADJECTIVE ) 
 cabinatissimi ( ADJECTIVE ) 
 cabinatissimo ( ADJECTIVE ) 
 cabinato ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 cabine ( NOUN NOUN_SINGULAR ) 
 cabla ( VERB ) 
 cablaggi ( NOUN NOUN_SINGULAR ) 
 cablaggio ( NOUN NOUN_SINGULAR ) 
 cablai ( VERB ) 
 cablammo ( VERB ) 
 cablan ( VERB ) 
 cablando ( NOUN NOUN_GERUND ) 
 cablano ( VERB ) 
 cablante ( VERB_PRESENT_PARTICIPLE VERB ) 
 cablanti ( VERB_PRESENT_PARTICIPLE VERB ) 
 cablar ( VERB_INFINITIVE VERB ) 
 cablare ( VERB_INFINITIVE VERB ) 
 cablaron ( VERB ) 
 cablarono ( VERB ) 
 cablasse ( VERB ) 
 cablasser ( VERB ) 
 cablassero ( VERB ) 
 cablassi ( VERB ) 
 cablassimo ( VERB ) 
 cablaste ( VERB ) 
 cablasti ( VERB ) 
 cablata ( VERB_PAST_PARTICIPLE VERB ) 
 cablate ( VERB_PAST_PARTICIPLE VERB ) 
 cablati ( VERB_PAST_PARTICIPLE VERB ) 
 cablato ( VERB_PAST_PARTICIPLE VERB ) 
 cablatura ( NOUN NOUN_SINGULAR ) 
 cablature ( NOUN NOUN_SINGULAR ) 
 cablava ( VERB ) 
 cablavamo ( VERB ) 
 cablavan ( VERB ) 
 cablavano ( VERB ) 
 cablavate ( VERB ) 
 cablavi ( VERB ) 
 cablavo ( VERB ) 
 cablera' ( VERB ) 
 cablerai ( VERB ) 
 cableran ( VERB ) 
 cableranno ( VERB ) 
 cablerebbe ( VERB ) 
 cablerebber ( VERB ) 
 cablerebbero ( VERB ) 
 cablerei ( VERB ) 
 cableremmo ( VERB ) 
 cableremo ( VERB ) 
 cablereste ( VERB ) 
 cableresti ( VERB ) 
 cablero' ( VERB ) 
 cablerà ( VERB ) 
 cablerò ( VERB ) 
 cabli ( VERB ) 
 cabliamo ( VERB ) 
 cabliate ( VERB ) 
 cablin ( VERB ) 
 cablino ( VERB ) 
 cablo ( VERB ) 
 cablo' ( VERB ) 
 cablò ( VERB ) 
 cabota ( VERB ) 
 cabotaggi ( NOUN NOUN_SINGULAR ) 
 cabotaggio ( NOUN NOUN_SINGULAR ) 
 cabotai ( VERB ) 
 cabotammo ( VERB ) 
 cabotan ( VERB ) 
 cabotando ( NOUN NOUN_GERUND ) 
 cabotano ( VERB ) 
 cabotante ( VERB_PRESENT_PARTICIPLE VERB ) 
 cabotanti ( VERB_PRESENT_PARTICIPLE VERB ) 
 cabotar ( VERB_INFINITIVE VERB ) 
 cabotare ( VERB_INFINITIVE VERB ) 
 cabotaron ( VERB ) 
 cabotarono ( VERB ) 
 cabotasse ( VERB ) 
 cabotasser ( VERB ) 
 cabotassero ( VERB ) 
 cabotassi ( VERB ) 
 cabotassimo ( VERB ) 
 cabotaste ( VERB ) 
 cabotasti ( VERB ) 
 cabotata ( VERB_PAST_PARTICIPLE VERB ) 
 cabotate ( VERB_PAST_PARTICIPLE VERB ) 
 cabotati ( VERB_PAST_PARTICIPLE VERB ) 
 cabotato ( VERB_PAST_PARTICIPLE VERB ) 
 cabotava ( VERB ) 
 cabotavamo ( VERB ) 
 cabotavan ( VERB ) 
 cabotavano ( VERB ) 
 cabotavate ( VERB ) 
 cabotavi ( VERB ) 
 cabotavo ( VERB ) 
 cabotera' ( VERB ) 
 caboterai ( VERB ) 
 caboteran ( VERB ) 
 caboteranno ( VERB ) 
 caboterebbe ( VERB ) 
 caboterebber ( VERB ) 
 caboterebbero ( VERB ) 
 caboterei ( VERB ) 
 caboteremmo ( VERB ) 
 caboteremo ( VERB ) 
 cabotereste ( VERB ) 
 caboteresti ( VERB ) 
 caboterete ( VERB ) 
 cabotero' ( VERB ) 
 caboterà ( VERB ) 
 caboterò ( VERB ) 
 caboti ( VERB ) 
 cabotiamo ( VERB ) 
 cabotiate ( VERB ) 
 cabotin ( VERB ) 
 cabotino ( VERB ) 
 caboto ( VERB ) 
 caboto' ( VERB ) 
 cabotò ( VERB ) 
 cabra ( VERB ) 
 cabrai ( VERB ) 
 cabrammo ( VERB ) 
 cabran ( VERB ) 
 cabrando ( NOUN NOUN_GERUND ) 
 cabrano ( VERB ) 
 cabrante ( VERB_PRESENT_PARTICIPLE VERB ) 
 cabranti ( VERB_PRESENT_PARTICIPLE VERB ) 
 cabrar ( VERB_INFINITIVE VERB ) 
 cabrare ( VERB_INFINITIVE VERB ) 
 cabraron ( VERB ) 
 cabrarono ( VERB ) 
 cabrasse ( VERB ) 
 cabrasser ( VERB ) 
 cabrassero ( VERB ) 
 cabrassi ( VERB ) 
 cabrassimo ( VERB ) 
 cabraste ( VERB ) 
 cabrasti ( VERB ) 
 cabrata ( VERB_PAST_PARTICIPLE VERB ) 
 cabrate ( VERB_PAST_PARTICIPLE VERB ) 
 cabrati ( VERB_PAST_PARTICIPLE VERB ) 
 cabrato ( VERB_PAST_PARTICIPLE VERB ) 
 cabrava ( VERB ) 
 cabravamo ( VERB ) 
 cabravan ( VERB ) 
 cabravano ( VERB ) 
 cabravate ( VERB ) 
 cabravi ( VERB ) 
 cabravo ( VERB ) 
 cabrera' ( VERB ) 
 cabrerai ( VERB ) 
 cabreran ( VERB ) 
 cabreranno ( VERB ) 
 cabrerebbe ( VERB ) 
 cabrerebber ( VERB ) 
 cabrerebbero ( VERB ) 
 cabrerei ( VERB ) 
 cabreremmo ( VERB ) 
 cabreremo ( VERB ) 
 cabrereste ( VERB ) 
 cabreresti ( VERB ) 
 cabrerete ( VERB ) 
 cabrero' ( VERB ) 
 cabrerà ( VERB ) 
 cabrerò ( VERB ) 
 cabri ( VERB ) 
 cabriamo ( VERB ) 
 cabriate ( VERB ) 
 cabrin ( VERB ) 
 cabrino ( VERB ) 
 cabriolet ( NOUN NOUN_SINGULAR ) 
 cabro ( VERB ) 
 cabro' ( VERB ) 
 cabrò ( VERB ) 
 caca ( VERB ) 
 cacai ( VERB ) 
 cacammo ( VERB ) 
 cacan ( VERB ) 
 cacando ( NOUN NOUN_GERUND ) 
 cacano ( VERB ) 
 cacante ( VERB_PRESENT_PARTICIPLE VERB ) 
 cacanti ( VERB_PRESENT_PARTICIPLE VERB ) 
 cacao ( NOUN NOUN_SINGULAR ) 
 cacar ( VERB_INFINITIVE VERB ) 
 cacare ( VERB_INFINITIVE VERB ) 
 cacaron ( VERB ) 
 cacarono ( VERB ) 
 cacasse ( VERB ) 
 cacasser ( VERB ) 
 cacassero ( VERB ) 
 cacassi ( VERB ) 
 cacassimo ( VERB ) 
 cacaste ( VERB ) 
 cacasti ( VERB ) 
 cacata ( VERB_PAST_PARTICIPLE VERB ) 
 cacate ( VERB_PAST_PARTICIPLE VERB ) 
 cacati ( VERB_PAST_PARTICIPLE VERB ) 
 cacato ( VERB_PAST_PARTICIPLE VERB ) 
 cacava ( VERB ) 
 cacavan ( VERB ) 
 cacavano ( VERB ) 
 cacavate ( VERB ) 
 cacavi ( VERB ) 
 cacavo ( VERB ) 
 cacca ( NOUN NOUN_SINGULAR ) 
 cacce ( NOUN NOUN_SINGULAR ) 
 caccera' ( VERB ) 
 caccerai ( VERB ) 
 cacceran ( VERB ) 
 cacceranno ( VERB ) 
 caccerebbe ( VERB ) 
 caccerebber ( VERB ) 
 caccerebbero ( VERB ) 
 caccerei ( VERB ) 
 cacceremmo ( VERB ) 
 cacceremo ( VERB ) 
 caccereste ( VERB ) 
 cacceresti ( VERB ) 
 caccerete ( VERB ) 
 caccero' ( VERB ) 
 caccerà ( VERB ) 
 caccerò ( VERB ) 
 cacche ( NOUN NOUN_SINGULAR ) 
 cacci ( VERB ) 
 caccia ( NOUN VERB NOUN_SINGULAR ) 
 caccia-bombardiere ( NOUN NOUN_SINGULAR ) 
 caccia-bombardieri ( NOUN NOUN_SINGULAR ) 
 cacciabombardiere ( NOUN NOUN_SINGULAR ) 
 cacciabombardieri ( NOUN NOUN_SINGULAR ) 
 cacciai ( VERB ) 
 cacciamine ( NOUN NOUN_SINGULAR ) 
 cacciammo ( VERB ) 
 cacciamo ( VERB ) 
 caccian ( VERB ) 
 cacciando ( NOUN NOUN_GERUND ) 
 cacciandoli ( NOUN NOUN_GERUND ) 
 cacciandolo ( NOUN NOUN_GERUND ) 
 cacciandosi ( NOUN NOUN_GERUND ) 
 cacciano ( VERB ) 
